IDCliente,Edad,Género,Ingresos,ScoreCrediticio,Transacciones,PagosAtrasados,DeudaEnOtrosBancos,MontoDePagoDeDeudasMensuales,MontoDePagoMensualEnTarjetaCredito,EstabilidadLaboralEnAnos,ViveEnZonaRiesgosa,SeAtrasoMasDeUnaVez
33,34,M,10995.0,756,13,2,31359,9909,497.0,0.0,No,0
36,65,M,8290.0,414,17,0,30212,3301,1421.0,0.0,No,0
37,49,F,10785.0,716,15,1,36601,4159,3474.0,0.0,Sí,0
38,30,F,9018.0,651,24,0,18970,2279,4411.0,0.0,No,0
39,38,F,7590.0,374,22,3,31356,9814,4373.0,0.0,No,0
40,66,M,,335,29,2,21955,1681,541.0,,No,0
41,57,F,1432.0,541,26,3,26140,91,788.0,0.0,Sí,0
42,50,F,6743.0,362,23,4,45570,3706,355.0,0.0,No,0
43,44,F,6247.0,808,28,4,39325,960,3974.0,0.0,No,1
44,52,F,8715.0,487,21,4,10467,4159,1226.0,0.0,No,0
46,45,M,14109.0,304,22,3,15126,218,4198.0,0.0,Sí,1
47,51,F,2070.0,737,29,4,2882,8895,3395.0,0.0,No,1
48,64,F,5600.0,465,16,3,44703,6028,3969.0,0.0,No,0
49,18,F,9306.0,745,25,1,35287,246,531.0,0.0,No,0
51,65,M,10982.0,807,29,4,4400,8248,1619.0,0.0,No,0
53,53,F,5318.0,567,28,3,26553,6325,3124.0,0.0,Sí,1
54,61,M,5731.0,692,27,2,16564,6307,4880.0,0.0,Sí,1
55,50,F,7068.0,584,12,2,20509,1912,4113.0,0.0,No,0
56,50,F,8670.0,408,29,3,35787,4221,1127.0,0.0,Sí,1
57,56,M,5767.0,326,5,1,764,7374,4247.0,0.0,No,0
58,35,M,1957.0,354,20,3,20519,266,3911.0,0.0,Sí,0
59,40,M,14220.0,432,17,1,10558,3482,4968.0,0.0,No,0
60,40,M,9287.0,351,10,2,16175,9872,1107.0,0.0,Sí,1
61,32,M,3154.0,792,6,1,26947,1531,4644.0,0.0,No,0
62,43,F,1631.0,597,21,1,14214,4564,1687.0,0.0,Sí,1
63,47,M,12876.0,698,20,1,21422,4228,4471.0,0.0,Sí,1
64,42,M,10893.0,317,6,4,6799,7155,4303.0,0.0,No,0
65,62,M,7045.0,545,12,4,32021,9211,4555.0,0.0,No,0
66,33,M,1697.0,802,21,2,14509,317,3475.0,0.0,No,0
67,56,M,1031.0,388,19,3,9974,9792,2577.0,0.0,No,0
68,65,M,7209.0,502,2,1,29356,710,2532.0,0.0,No,0
69,62,F,14490.0,539,13,4,18840,8642,4217.0,0.0,Sí,0
70,31,M,5874.0,789,22,3,38449,1743,2029.0,0.0,Sí,1
71,34,F,6562.0,312,20,1,6997,1323,1143.0,0.0,Sí,1
72,29,F,14203.0,614,11,3,9374,2680,4346.0,0.0,No,0
73,46,M,9740.0,497,15,0,36900,4237,4991.0,0.0,Sí,0
74,49,M,,542,13,1,2453,3051,3743.0,,Sí,0
75,41,F,11085.0,806,26,3,538,4664,3590.0,0.0,Sí,0
77,30,F,12026.0,629,14,1,30593,5675,1747.0,0.0,No,0
78,37,M,10895.0,728,8,0,2303,6787,4819.0,0.0,No,0
79,32,F,7406.0,461,28,3,49400,2640,217.0,0.0,Sí,1
80,21,M,2156.0,734,9,2,18556,7376,2810.0,0.0,Sí,1
81,51,M,9535.0,532,15,4,34103,8138,3415.0,0.0,Sí,0
83,67,M,13264.0,531,18,1,6615,694,4699.0,0.0,Sí,0
84,19,M,12654.0,572,8,1,31468,4253,289.0,0.0,Sí,1
85,64,F,7154.0,340,11,1,8691,8531,4697.0,0.0,No,0
86,47,F,3248.0,765,29,4,33578,1768,3268.0,0.0,Sí,0
88,68,F,14213.0,789,27,0,23940,171,609.0,0.0,Sí,1
90,43,F,11242.0,733,15,4,3704,3102,535.0,0.0,Sí,0
91,37,F,4285.0,318,15,3,33978,620,3291.0,0.0,Sí,0
93,45,F,10522.0,750,26,0,48866,9180,756.0,0.0,Sí,1
94,37,M,3003.0,724,7,3,36513,76,3849.0,0.0,Sí,1
95,28,F,4615.0,693,21,1,10178,2198,353.0,0.0,Sí,1
96,27,M,10979.0,583,18,4,24175,4237,4830.0,0.0,No,0
97,40,M,11438.0,333,28,3,17875,8422,3891.0,0.0,Sí,0
98,54,F,4672.0,594,12,2,15816,6027,4330.0,0.0,Sí,0
99,58,F,8458.0,550,12,2,32441,5855,305.0,0.0,No,0
100,69,F,3155.0,638,4,3,28846,2544,2995.0,0.0,Sí,1
101,36,F,4479.0,739,29,4,15620,2857,3708.0,0.0,Sí,1
103,35,M,1051.0,527,21,0,31589,6274,4148.0,0.0,Sí,0
105,44,M,5390.0,626,21,4,6110,9153,275.0,0.0,Sí,0
106,23,M,4651.0,453,10,2,28940,1627,146.0,0.0,Sí,1
107,27,M,8356.0,445,27,2,34585,1074,3548.0,0.0,Sí,0
108,19,M,13107.0,551,15,1,6613,3204,4725.0,0.0,Sí,0
110,55,F,11813.0,369,17,1,7231,647,851.0,0.0,No,1
111,45,M,13752.0,842,3,1,11214,5303,4523.0,0.0,No,0
112,45,M,6765.0,392,25,3,2877,3162,487.0,0.0,Sí,1
113,62,F,13921.0,462,11,0,32207,902,1553.0,0.0,No,0
114,67,M,2354.0,380,18,4,36855,4067,1761.0,0.0,No,0
115,56,F,6620.0,362,10,4,1147,9695,3183.0,0.0,No,0
117,63,F,1209.0,347,9,4,49389,2897,4711.0,0.0,Sí,1
118,22,M,7232.0,744,7,2,7609,9537,4310.0,0.0,No,0
120,28,M,7171.0,841,8,4,36751,8173,510.0,0.0,Sí,1
121,27,F,1237.0,456,2,3,45323,8681,4121.0,0.0,No,0
122,60,F,9527.0,786,5,4,40902,5252,3813.0,0.0,Sí,1
123,19,F,13030.0,565,9,1,5606,7851,2240.0,0.0,Sí,1
124,32,M,9075.0,555,1,1,44686,8617,2150.0,0.0,No,0
125,56,M,2576.0,338,17,0,48581,7228,3202.0,0.0,Sí,1
126,58,M,9691.0,354,10,2,44861,5681,342.0,0.0,No,0
127,54,M,10756.0,327,8,3,49874,5595,1423.0,0.0,No,0
128,24,M,9982.0,417,18,4,1095,7390,3867.0,0.0,No,0
129,37,M,4540.0,669,25,1,20211,3991,4395.0,0.0,Sí,1
130,51,F,12314.0,508,10,2,20669,9599,145.0,0.0,No,1
131,52,F,10327.0,615,9,2,17379,6462,2817.0,0.0,Sí,1
132,51,F,13136.0,692,4,3,22065,6368,4557.0,0.0,No,0
133,39,M,11540.0,743,2,3,48844,8614,915.0,0.0,Sí,1
134,48,F,8257.0,558,19,3,37429,9406,4919.0,0.0,No,0
135,40,M,13516.0,497,10,3,16181,3942,1911.0,0.0,No,0
136,36,M,1149.0,744,17,1,19167,1800,3701.0,0.0,Sí,0
137,21,F,12398.0,604,3,3,10087,2377,1339.0,0.0,Sí,1
138,41,M,12720.0,638,21,2,5682,7323,2246.0,0.0,No,0
139,37,M,2624.0,828,19,2,38729,2103,3917.0,0.0,Sí,0
140,56,M,8661.0,353,19,4,21152,1271,2951.0,0.0,No,0
141,45,M,3574.0,411,26,2,37972,5020,497.0,0.0,No,0
142,56,M,5428.0,718,22,2,7552,434,2948.0,0.0,Sí,1
143,34,F,8529.0,604,19,1,16468,3598,790.0,0.0,Sí,0
144,36,F,5269.0,737,19,2,24531,3771,4200.0,0.0,No,0
145,65,M,8769.0,384,15,0,7084,8726,9.0,0.0,No,0
146,52,M,12476.0,823,25,2,43848,8572,3098.0,0.0,No,0
147,49,F,14654.0,551,18,4,45647,2150,2816.0,0.0,No,0
149,63,F,,704,10,3,6055,5602,3566.0,,No,0
150,64,M,8899.0,603,24,1,2669,5167,882.0,0.0,Sí,0
151,63,F,14372.0,327,29,4,12028,5486,1671.0,0.0,No,1
152,56,F,5914.0,565,14,0,1008,4049,737.0,0.0,Sí,1
153,52,M,14989.0,351,19,0,15523,546,2174.0,0.0,No,0
154,47,M,7667.0,810,23,3,45307,4422,923.0,0.0,Sí,1
157,64,F,4815.0,500,11,2,36207,3115,2824.0,0.0,Sí,1
158,46,F,13911.0,583,12,0,38650,218,1153.0,0.0,Sí,1
159,23,M,1577.0,656,8,0,19297,125,2070.0,0.0,No,0
160,34,M,,346,16,0,4695,9520,4600.0,,Sí,0
162,31,M,14682.0,429,24,4,7114,4180,3482.0,0.0,No,0
163,41,M,2229.0,494,8,1,44012,5160,1443.0,0.0,No,0
164,67,M,4176.0,663,24,2,29795,2770,4507.0,0.0,No,0
165,54,M,9945.0,731,14,4,17527,9766,2801.0,0.0,Sí,1
166,57,M,14034.0,368,23,1,40320,1942,1775.0,0.0,Sí,0
167,56,M,1687.0,757,18,3,14027,4457,28.0,0.0,Sí,0
168,49,M,1722.0,839,24,0,27796,1254,2292.0,0.0,Sí,1
169,53,F,14854.0,634,21,2,33992,987,3703.0,0.0,No,0
171,54,F,,315,4,3,37263,8111,3741.0,,No,1
172,65,M,3712.0,755,17,0,12441,7955,138.0,0.0,Sí,0
173,31,F,1707.0,809,13,3,30189,5353,4452.0,0.0,No,1
174,44,M,,508,5,3,181,9509,2259.0,,No,0
175,36,F,14068.0,457,3,4,12812,1371,1162.0,0.0,Sí,1
176,48,M,1483.0,636,9,3,22716,360,3439.0,0.0,Sí,0
178,26,M,2533.0,357,26,4,35713,8549,1359.0,0.0,No,1
180,34,F,2020.0,644,20,1,10939,8088,2560.0,0.0,Sí,1
181,36,F,8093.0,313,19,3,10072,7729,3672.0,0.0,No,1
182,61,M,14156.0,658,19,3,44562,2783,2160.0,0.0,Sí,1
183,21,F,7466.0,676,21,1,8846,63,282.0,0.0,Sí,1
184,65,F,1847.0,542,16,0,3686,2228,1139.0,0.0,Sí,1
186,39,F,9887.0,714,5,0,26775,6332,4136.0,0.0,No,0
187,21,M,4346.0,693,24,3,19215,3938,2979.0,0.0,Sí,0
189,25,M,9078.0,457,26,2,43195,8771,1244.0,0.0,No,0
190,63,F,1031.0,317,12,0,25297,6313,4408.0,0.0,No,0
192,28,M,12156.0,357,28,0,42160,2158,2518.0,0.0,No,0
193,48,F,11304.0,454,1,4,29552,2125,47.0,0.0,Sí,1
194,28,F,8877.0,786,14,3,43422,6396,133.0,0.0,No,1
195,55,M,7170.0,830,18,2,24885,2283,3046.0,0.0,Sí,0
196,38,M,8830.0,786,18,3,17409,6236,2364.0,0.0,Sí,1
197,63,F,13078.0,450,6,4,4412,7809,3509.0,0.0,Sí,1
198,47,F,10694.0,658,1,0,46075,3105,3506.0,0.0,Sí,1
199,27,F,3315.0,667,27,3,20027,3552,2133.0,0.0,No,0
200,43,F,11836.0,346,17,0,8559,3475,4094.0,0.0,No,0
201,44,F,1065.0,506,18,0,4650,1838,2537.0,0.0,Sí,0
202,25,F,13420.0,749,15,3,10844,8413,2471.0,0.0,Sí,1
203,56,M,2928.0,782,12,2,17633,8053,2434.0,0.0,Sí,1
204,25,F,6011.0,442,13,2,35751,895,4335.0,0.0,Sí,0
205,25,F,8533.0,699,20,3,37343,5609,3522.0,0.0,Sí,0
206,51,F,7225.0,396,2,2,30493,5913,2305.0,0.0,Sí,1
207,33,F,6447.0,346,4,1,23831,3411,4139.0,0.0,No,0
208,58,M,1584.0,490,3,0,36877,3008,1810.0,0.0,No,0
210,40,M,7685.0,530,25,4,45197,9824,3054.0,0.0,No,0
211,29,M,,639,8,3,49741,3670,4849.0,,Sí,0
212,44,F,9154.0,790,12,3,1782,2890,4200.0,0.0,No,0
213,39,M,8951.0,348,12,0,20952,6285,3492.0,0.0,No,0
214,49,F,2748.0,752,10,4,30219,1408,953.0,0.0,Sí,0
215,66,F,8670.0,615,25,0,42167,3872,1673.0,0.0,No,0
216,44,M,3204.0,621,1,2,4412,4677,1342.0,0.0,Sí,1
218,62,F,2892.0,773,5,0,29116,7446,2742.0,0.0,Sí,0
220,43,M,11621.0,373,28,3,47855,3458,239.0,0.0,Sí,0
221,45,F,4093.0,752,20,2,30633,4397,2624.0,0.0,No,1
222,36,F,1973.0,346,11,0,14598,5883,3049.0,0.0,Sí,0
223,60,F,5024.0,395,9,0,10616,8088,2109.0,0.0,No,0
224,22,F,11834.0,330,14,1,37448,7406,4247.0,0.0,Sí,1
225,50,F,10634.0,833,3,2,33238,3600,4225.0,0.0,Sí,1
226,37,M,7615.0,316,5,1,12101,7071,1463.0,0.0,Sí,1
229,25,F,2477.0,691,21,0,10286,9567,1937.0,0.0,No,1
230,55,M,6689.0,653,9,1,35762,6297,4636.0,0.0,No,0
231,34,F,9962.0,604,18,0,11070,9725,181.0,0.0,No,0
232,61,F,8329.0,849,6,0,28091,4690,1074.0,0.0,Sí,1
233,18,M,7444.0,839,21,1,40702,5686,2573.0,0.0,No,0
234,20,F,9497.0,808,25,0,46739,3496,2397.0,0.0,Sí,1
235,63,F,1001.0,694,7,2,46707,3472,1081.0,0.0,Sí,1
236,43,F,9462.0,730,16,2,21742,7226,418.0,0.0,Sí,1
238,25,M,12406.0,705,23,2,40377,4561,639.0,0.0,Sí,1
239,60,F,7843.0,600,29,1,14428,7614,2084.0,0.0,Sí,1
240,63,F,10055.0,744,10,2,44608,2358,4589.0,0.0,No,0
241,25,F,6972.0,426,26,4,2733,8250,358.0,0.0,Sí,1
242,52,M,8903.0,648,5,3,4067,7257,1803.0,0.0,Sí,1
243,56,M,6105.0,320,11,3,18741,6213,538.0,0.0,No,0
244,45,M,11931.0,719,29,1,11127,8376,4439.0,0.0,No,0
245,68,M,8702.0,451,21,4,12010,7605,2218.0,0.0,Sí,0
246,21,M,3914.0,459,13,2,36006,2619,1713.0,0.0,Sí,0
247,33,M,6156.0,779,27,4,9964,9872,865.0,0.0,No,0
248,30,F,9298.0,742,20,0,28653,577,2067.0,0.0,No,0
251,22,M,13836.0,374,9,1,787,555,3268.0,0.0,No,0
252,54,F,3599.0,658,10,0,48467,851,4671.0,0.0,Sí,1
253,37,M,6716.0,432,10,4,24618,9410,3627.0,0.0,No,0
254,41,F,3235.0,699,28,3,15060,3640,1035.0,0.0,No,0
255,53,F,3799.0,438,10,2,45256,1912,360.0,0.0,No,1
257,62,M,10703.0,590,19,2,47770,5419,295.0,0.0,No,0
258,65,M,6473.0,411,11,4,22168,2365,1426.0,0.0,No,0
260,36,F,1858.0,539,3,3,28481,266,2816.0,0.0,Sí,0
261,34,F,10608.0,636,19,0,21112,3916,2865.0,0.0,Sí,1
262,22,F,6380.0,437,24,4,5640,7328,692.0,0.0,No,0
263,42,M,4032.0,535,22,1,3410,9592,4595.0,0.0,No,0
264,35,M,5505.0,302,1,0,34126,2326,1067.0,0.0,Sí,1
265,67,F,10618.0,415,12,1,25780,2801,1132.0,0.0,No,0
266,25,M,6789.0,771,29,4,44564,5552,1121.0,0.0,Sí,1
267,44,M,3531.0,430,15,1,11185,2034,1241.0,0.0,No,0
268,32,M,8471.0,782,14,3,15631,7453,946.0,0.0,No,0
269,62,M,5719.0,700,3,1,43201,984,3147.0,0.0,No,0
270,30,F,13943.0,500,20,4,16921,4099,1615.0,0.0,Sí,1
271,33,M,5863.0,591,13,1,28587,6463,4659.0,0.0,Sí,1
272,39,M,,641,18,0,37344,1075,62.0,,Sí,0
273,37,F,13305.0,515,16,0,20909,1023,393.0,0.0,Sí,0
274,30,F,11423.0,665,6,2,19967,3897,1526.0,0.0,Sí,0
275,37,M,3452.0,768,10,2,7898,6970,1501.0,0.0,No,0
276,19,M,3846.0,717,28,3,41904,8471,519.0,0.0,No,0
277,52,M,9064.0,326,17,0,14216,1111,388.0,0.0,No,0
278,64,M,12394.0,754,17,2,26399,9375,587.0,0.0,No,0
279,36,F,7622.0,313,8,1,28474,5080,3497.0,0.0,Sí,0
280,62,F,11008.0,397,4,3,12398,7981,3061.0,0.0,Sí,1
281,54,F,10972.0,578,15,4,46762,2075,4731.0,0.0,Sí,0
282,23,M,13295.0,789,1,2,41810,3942,2571.0,0.0,No,0
283,31,M,9896.0,506,7,2,19309,271,279.0,0.0,Sí,0
284,21,F,10533.0,532,25,0,29658,9315,3116.0,0.0,Sí,1
285,39,M,4462.0,538,10,3,41955,9419,3472.0,0.0,No,1
286,68,F,12782.0,549,7,0,39482,189,1984.0,0.0,No,0
287,56,F,2159.0,605,1,0,23581,8737,2281.0,0.0,Sí,0
289,51,F,8056.0,535,12,1,14287,8142,804.0,0.0,Sí,0
290,44,F,4722.0,590,17,2,22390,4943,74.0,0.0,No,0
291,24,F,12630.0,338,15,0,45721,4866,2985.0,0.0,No,0
292,20,F,4560.0,482,24,2,8541,768,709.0,0.0,No,0
293,64,M,12274.0,329,16,3,17921,5166,3662.0,0.0,No,0
294,50,F,7117.0,687,23,1,43937,9202,4630.0,0.0,No,0
295,19,F,7589.0,442,14,4,40149,7589,1430.0,0.0,No,1
296,59,M,10907.0,718,3,1,30238,4798,4991.0,0.0,Sí,0
298,42,M,3243.0,354,12,1,13494,2600,2038.0,0.0,Sí,0
299,32,F,9177.0,323,19,4,39796,916,4133.0,0.0,No,0
300,41,M,2760.0,321,18,0,43196,9644,3938.0,0.0,No,0
302,48,M,,331,20,3,6041,7151,3356.0,,Sí,1
303,31,F,10988.0,638,23,1,19985,65,102.0,0.0,No,0
304,31,M,8679.0,814,9,4,4174,9917,144.0,0.0,No,0
305,23,F,3675.0,811,3,3,33691,9691,754.0,0.0,No,0
306,31,F,8124.0,369,26,1,49770,1904,4057.0,0.0,Sí,0
307,34,F,6781.0,387,23,3,22726,7193,4461.0,0.0,No,0
308,35,F,4236.0,518,12,4,27838,4571,1830.0,0.0,No,0
310,68,F,9235.0,377,17,4,46653,9078,82.0,0.0,No,0
311,34,F,9680.0,309,5,0,27177,6973,1311.0,0.0,Sí,1
312,33,M,5276.0,767,8,2,42007,3808,3339.0,0.0,Sí,0
314,56,F,5723.0,485,26,0,21964,7861,3931.0,0.0,No,0
315,69,M,10148.0,845,4,2,26806,1960,3447.0,0.0,No,1
317,61,M,6644.0,573,19,2,26444,43,1615.0,0.0,No,0
318,26,M,2115.0,709,15,3,27230,3842,4246.0,0.0,No,0
319,44,F,2781.0,657,26,4,40890,4705,2803.0,0.0,No,0
320,63,F,12018.0,397,14,4,16466,1888,4825.0,0.0,No,0
321,69,M,9842.0,540,16,4,16476,3898,2062.0,0.0,Sí,0
322,50,F,2876.0,413,24,4,32021,5883,4196.0,0.0,Sí,1
323,27,M,6363.0,786,10,3,27732,8911,779.0,0.0,No,0
324,34,M,9532.0,540,24,4,7375,690,1058.0,0.0,Sí,0
325,66,F,12142.0,455,14,0,7837,6842,2398.0,0.0,Sí,1
328,34,F,3750.0,611,2,3,26600,8706,4732.0,0.0,No,0
329,35,M,11336.0,437,28,4,15188,7720,1759.0,0.0,No,0
330,69,M,10546.0,735,19,2,44777,8828,4620.0,0.0,No,0
331,40,F,4276.0,442,3,0,5489,3328,4260.0,0.0,No,0
332,51,F,1448.0,598,4,2,19082,5312,427.0,0.0,Sí,0
333,25,F,6537.0,561,11,1,8983,626,3876.0,0.0,Sí,1
334,30,M,5172.0,811,13,2,33243,69,2490.0,0.0,Sí,0
335,40,F,14183.0,361,18,0,8695,7549,2116.0,0.0,Sí,1
336,37,M,13836.0,722,18,0,230,5613,2321.0,0.0,No,0
337,39,M,9989.0,695,19,0,39789,4319,559.0,0.0,No,0
338,64,M,4496.0,330,12,3,32103,5961,4944.0,0.0,No,0
339,69,F,14740.0,629,1,3,42546,3977,1385.0,0.0,Sí,0
340,40,M,14796.0,468,24,1,26350,7500,2617.0,0.0,No,0
341,58,F,14102.0,565,6,2,11282,8059,1954.0,0.0,No,0
342,52,M,3182.0,607,3,4,20354,6784,589.0,0.0,No,0
343,20,F,14871.0,758,17,1,28802,1634,498.0,0.0,Sí,0
345,50,M,9837.0,633,1,4,11355,7353,1529.0,0.0,No,0
346,63,F,1719.0,814,3,1,30238,768,1638.0,0.0,No,0
347,34,M,2522.0,740,4,2,43369,5764,1132.0,0.0,No,0
348,62,M,7756.0,690,6,4,17144,2603,4483.0,0.0,Sí,0
349,36,M,7627.0,553,7,3,5243,991,415.0,0.0,No,0
350,47,M,2069.0,634,23,3,20336,9920,4996.0,0.0,Sí,0
351,40,M,6562.0,699,25,1,17680,9721,1591.0,0.0,No,0
352,32,M,8749.0,465,8,4,10594,488,4407.0,0.0,No,0
353,31,M,13935.0,559,13,1,18531,8179,3883.0,0.0,No,0
354,19,F,5887.0,303,4,3,26215,4152,1607.0,0.0,No,0
355,56,M,5674.0,418,6,1,37164,511,3724.0,0.0,No,0
356,66,M,12267.0,769,11,4,16992,5697,1715.0,0.0,Sí,1
358,23,F,12553.0,792,8,3,33649,5678,3854.0,0.0,No,0
359,49,M,3156.0,799,22,0,10442,3309,3959.0,0.0,No,0
360,38,M,8944.0,369,2,0,29893,8562,109.0,0.0,Sí,0
361,57,M,13747.0,669,8,2,23700,4701,4177.0,0.0,Sí,1
362,45,F,11505.0,480,20,3,43388,1859,768.0,0.0,No,0
363,44,M,14449.0,304,9,2,13042,7719,138.0,0.0,Sí,1
365,50,M,5139.0,346,17,4,13494,6909,860.0,0.0,Sí,0
366,33,M,6629.0,439,7,3,21275,7264,3927.0,0.0,No,0
367,56,F,8087.0,839,10,1,39248,6681,2387.0,0.0,Sí,1
368,39,M,6078.0,726,5,2,23889,2662,2525.0,0.0,Sí,0
369,60,M,7405.0,609,10,3,34762,4692,1445.0,0.0,Sí,0
371,30,F,1632.0,838,12,3,7768,1335,198.0,0.0,Sí,1
373,31,M,12255.0,758,20,2,1011,761,1160.0,0.0,Sí,0
376,45,M,1622.0,730,3,3,17072,9140,2222.0,0.0,No,0
377,24,M,7073.0,331,27,4,36836,301,488.0,0.0,No,0
378,35,F,1360.0,812,28,4,36215,7740,3540.0,0.0,No,0
379,58,M,11559.0,481,7,2,24281,3694,2867.0,0.0,No,0
380,53,M,7365.0,547,11,3,31038,2701,2427.0,0.0,No,0
382,53,M,12659.0,329,12,3,23639,8805,4537.0,0.0,Sí,1
383,61,M,10122.0,601,9,4,10236,6214,864.0,0.0,Sí,0
384,21,F,14894.0,775,1,3,24459,5644,2180.0,0.0,No,0
385,47,M,13776.0,651,4,3,25016,5520,3028.0,0.0,Sí,1
386,41,M,4943.0,781,2,1,25800,668,3098.0,0.0,Sí,0
387,37,M,13888.0,616,2,3,30271,2128,3328.0,0.0,Sí,0
388,63,F,5869.0,696,17,1,35230,6738,3634.0,0.0,Sí,1
389,48,M,9128.0,388,21,2,37891,217,655.0,0.0,No,0
391,24,F,14775.0,467,4,2,4178,4220,235.0,0.0,Sí,1
392,43,M,5795.0,425,25,3,32448,8392,988.0,0.0,No,0
393,30,F,8791.0,419,11,2,13276,2621,1382.0,0.0,No,0
394,25,M,11691.0,727,19,4,14828,5139,814.0,0.0,No,0
396,61,M,13543.0,727,26,1,27328,9143,1689.0,0.0,Sí,1
397,30,F,14461.0,501,13,0,18136,1881,3800.0,0.0,Sí,0
398,46,M,7270.0,358,22,3,29018,1432,2486.0,0.0,No,0
399,37,M,9583.0,522,26,4,31376,5181,1665.0,0.0,Sí,1
400,31,M,13094.0,791,21,2,43962,2320,2635.0,0.0,No,0
401,49,F,7623.0,310,18,1,5916,6950,3986.0,0.0,No,0
402,67,F,6088.0,811,27,1,4546,9968,1823.0,0.0,No,0
403,44,M,8564.0,609,29,4,15361,7177,4088.0,0.0,Sí,1
404,42,M,8066.0,333,19,4,3359,8890,610.0,0.0,No,0
405,69,M,7545.0,639,24,3,12134,621,1335.0,0.0,No,0
407,38,F,14132.0,392,28,0,29625,9276,4325.0,0.0,No,0
408,35,F,9149.0,432,12,2,40372,7225,3692.0,0.0,No,0
409,56,F,9125.0,718,25,1,45269,8491,4435.0,0.0,Sí,1
411,55,F,9330.0,743,27,1,899,9622,2211.0,0.0,No,1
414,41,M,14428.0,360,16,2,33420,3452,1749.0,0.0,No,0
415,25,M,6333.0,757,28,4,982,7312,4945.0,0.0,No,0
416,45,M,9675.0,603,28,1,33343,5925,341.0,0.0,No,0
417,38,M,8858.0,639,13,2,8524,1821,4683.0,0.0,No,0
418,33,M,5319.0,747,29,3,4307,6431,2826.0,0.0,Sí,1
419,33,M,6389.0,601,6,3,6753,988,3831.0,0.0,No,1
420,52,F,13265.0,839,23,2,43173,8405,2379.0,0.0,No,0
421,34,M,2848.0,784,28,4,43133,531,3869.0,0.0,Sí,1
422,26,F,11076.0,376,6,2,31900,2917,4202.0,0.0,No,0
423,52,M,4205.0,814,10,4,44793,6885,3273.0,0.0,No,0
424,69,F,3161.0,848,27,2,40508,3619,2439.0,0.0,No,1
425,46,F,2464.0,391,29,4,17439,6564,4325.0,0.0,No,0
426,56,M,,765,2,0,38794,3060,2067.0,,Sí,0
427,35,M,12628.0,765,29,2,20753,9800,3539.0,0.0,Sí,0
428,29,M,6351.0,339,25,4,34092,2524,4747.0,0.0,No,0
429,36,M,5553.0,628,3,1,48148,689,471.0,0.0,Sí,0
430,65,M,7518.0,584,6,1,3595,1100,3765.0,0.0,Sí,0
431,39,F,6723.0,365,16,2,20211,8310,4169.0,0.0,Sí,1
432,66,M,8946.0,408,6,2,27238,5301,653.0,0.0,No,0
433,69,F,1610.0,714,24,3,18707,8697,461.0,0.0,No,0
434,32,F,5302.0,391,13,4,46086,7817,1173.0,0.0,Sí,0
435,18,F,,667,4,2,1882,2200,1667.0,,Sí,0
